affiliation,population,region
Aglipay,17632.0,NCR
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",393.0,NCR
Association of Fundamental Baptist Churches in the Philippines,628.0,NCR
Bible Baptist Church,55840.0,NCR
Bread of Life Ministries,2818.0,NCR
Buddhist,14488.0,NCR
"Cathedral of Praise, Incorporated",1698.0,NCR
Church of Christ,24224.0,NCR
Church of Jesus Christ of the Latter Day Saints,15553.0,NCR
Convention of the Philippine Baptist Church,241.0,NCR
"Crusaders of the Divine Church of Christ, Incorporated",523.0,NCR
Door of Faith,3903.0,NCR
Evangelical Christian Outreach Foundation,7134.0,NCR
Evangelicals (Philippine Council of Evangelical Churches),119140.0,NCR
Faith Tabernacle Church (Living Rock Ministries),361.0,NCR
Good News Christian Churches,1167.0,NCR
Higher Ground Baptist Mission,115.0,NCR
Iglesia Evangelica Unida de Cristo,40.0,NCR
Iglesia ni Cristo,439417.0,NCR
"Iglesia sa Dios Espiritu Santo, Incorporated",11660.0,NCR
International Baptist Missionary Fellowship,457.0,NCR
International One Way Outreach,212.0,NCR
Islam,154840.0,NCR
Jehovah’s Witness,42823.0,NCR
"Jesus is Alive Community, Incorporated",868.0,NCR
Jesus is Lord Church,103920.0,NCR
Love of Christ International Ministries,418.0,NCR
Lutheran Church of the Philippines,601.0,NCR
Miracle Revival Church of the Philippines,258.0,NCR
Missionary Baptist Churches of the Philippines,367.0,NCR
National Council of Churches in the Philippines,10737.0,NCR
Philippine Benevolent Missionaries Association,19.0,NCR
Philippine Ecumenical Christian Church,340.0,NCR
Philippine Good News Ministries,74.0,NCR
Philippine Grace Gospel,955.0,NCR
Philippine Independent Catholic Church,583.0,NCR
Potter’s House Christian Center,282.0,NCR
"Roman Catholic, including Catholic Charismatic",11464837.0,NCR
"Salvation Army, Philippines",636.0,NCR
Seventh Day Adventist,33541.0,NCR
Things to Come,189.0,NCR
UNIDA Evangelical Church,211.0,NCR
"Union Espiritista Cristiana de Filipinas, Incorporated",157.0,NCR
United Church of Christ in the Philippines,3078.0,NCR
"United Pentecostal Church (Philippines), Incorporated",5767.0,NCR
Victory Chapel Christian Fellowship,68520.0,NCR
"Way of Salvation Church, Incorporated",431.0,NCR
Other Baptists,40814.0,NCR
Other Protestants,34341.0,NCR
Other Religious Affiliations,148108.0,NCR
Tribal Religions,2284.0,NCR
None,5304.0,NCR
Not Reported,34306.0,NCR
Aglipay,21915.0,CARAGA
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",27.0,CARAGA
Association of Fundamental Baptist Churches in the Philippines,4030.0,CARAGA
Bible Baptist Church,23599.0,CARAGA
Bread of Life Ministries,279.0,CARAGA
Buddhist,189.0,CARAGA
"Cathedral of Praise, Incorporated",3.0,CARAGA
Church of Christ,19435.0,CARAGA
Church of Jesus Christ of the Latter Day Saints,6512.0,CARAGA
Convention of the Philippine Baptist Church,4.0,CARAGA
"Crusaders of the Divine Church of Christ, Incorporated",14.0,CARAGA
Door of Faith,176.0,CARAGA
Evangelical Christian Outreach Foundation,976.0,CARAGA
Evangelicals (Philippine Council of Evangelical Churches),139032.0,CARAGA
Faith Tabernacle Church (Living Rock Ministries),377.0,CARAGA
Good News Christian Churches,505.0,CARAGA
Higher Ground Baptist Mission,184.0,CARAGA
Iglesia ni Cristo,79667.0,CARAGA
"Iglesia sa Dios Espiritu Santo, Incorporated",852.0,CARAGA
International Baptist Missionary Fellowship,54.0,CARAGA
International One Way Outreach,4382.0,CARAGA
Islam,12355.0,CARAGA
Jehovah’s Witness,20475.0,CARAGA
"Jesus is Alive Community, Incorporated",25.0,CARAGA
Jesus is Lord Church,8000.0,CARAGA
Love of Christ International Ministries,31.0,CARAGA
Lutheran Church of the Philippines,27.0,CARAGA
Miracle Revival Church of the Philippines,486.0,CARAGA
Missionary Baptist Churches of the Philippines,736.0,CARAGA
National Council of Churches in the Philippines,116366.0,CARAGA
Philippine Benevolent Missionaries Association,616.0,CARAGA
Philippine Ecumenical Christian Church,17010.0,CARAGA
Philippine Good News Ministries,7.0,CARAGA
Philippine Grace Gospel,1826.0,CARAGA
Philippine Independent Catholic Church,10172.0,CARAGA
Potter’s House Christian Center,42.0,CARAGA
"Roman Catholic, including Catholic Charismatic",1841900.0,CARAGA
"Salvation Army, Philippines",84.0,CARAGA
Seventh Day Adventist,68181.0,CARAGA
Things to Come,247.0,CARAGA
UNIDA Evangelical Church,34.0,CARAGA
"Union Espiritista Cristiana de Filipinas, Incorporated",302.0,CARAGA
United Church of Christ in the Philippines,29470.0,CARAGA
"United Pentecostal Church (Philippines), Incorporated",25198.0,CARAGA
Victory Chapel Christian Fellowship,1048.0,CARAGA
"Way of Salvation Church, Incorporated",5.0,CARAGA
Other Baptists,8417.0,CARAGA
Other Protestants,13303.0,CARAGA
Other Religious Affiliations,104855.0,CARAGA
Tribal Religions,12645.0,CARAGA
None,589.0,CARAGA
Not Reported,45.0,CARAGA
Aglipay,5849.0,CAR
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",109.0,CAR
Association of Fundamental Baptist Churches in the Philippines,8378.0,CAR
Bible Baptist Church,22100.0,CAR
Bread of Life Ministries,64.0,CAR
Buddhist,188.0,CAR
"Cathedral of Praise, Incorporated",28.0,CAR
Church of Christ,10656.0,CAR
Church of Jesus Christ of the Latter Day Saints,2222.0,CAR
Convention of the Philippine Baptist Church,14.0,CAR
"Crusaders of the Divine Church of Christ, Incorporated",4792.0,CAR
Door of Faith,5.0,CAR
Evangelical Christian Outreach Foundation,747.0,CAR
Evangelicals (Philippine Council of Evangelical Churches),155568.0,CAR
Faith Tabernacle Church (Living Rock Ministries),90.0,CAR
Good News Christian Churches,40.0,CAR
Higher Ground Baptist Mission,35.0,CAR
Iglesia Evangelica Unida de Cristo,7.0,CAR
Iglesia ni Cristo,41921.0,CAR
"Iglesia sa Dios Espiritu Santo, Incorporated",211.0,CAR
International Baptist Missionary Fellowship,19.0,CAR
International One Way Outreach,44.0,CAR
Islam,4679.0,CAR
Jehovah’s Witness,23783.0,CAR
"Jesus is Alive Community, Incorporated",810.0,CAR
Jesus is Lord Church,3910.0,CAR
Love of Christ International Ministries,17.0,CAR
Lutheran Church of the Philippines,24581.0,CAR
Miracle Revival Church of the Philippines,519.0,CAR
Missionary Baptist Churches of the Philippines,37.0,CAR
National Council of Churches in the Philippines,117403.0,CAR
Philippine Benevolent Missionaries Association,25.0,CAR
Philippine Ecumenical Christian Church,105.0,CAR
Philippine Good News Ministries,16.0,CAR
Philippine Grace Gospel,73.0,CAR
Philippine Independent Catholic Church,157.0,CAR
Potter’s House Christian Center,28.0,CAR
"Roman Catholic, including Catholic Charismatic",1104051.0,CAR
"Salvation Army, Philippines",33.0,CAR
Seventh Day Adventist,8489.0,CAR
Things to Come,6.0,CAR
UNIDA Evangelical Church,18.0,CAR
"Union Espiritista Cristiana de Filipinas, Incorporated",22859.0,CAR
United Church of Christ in the Philippines,40467.0,CAR
"United Pentecostal Church (Philippines), Incorporated",31413.0,CAR
Victory Chapel Christian Fellowship,274.0,CAR
"Way of Salvation Church, Incorporated",182.0,CAR
Other Baptists,6675.0,CAR
Other Protestants,28921.0,CAR
Other Religious Affiliations,45768.0,CAR
Tribal Religions,3200.0,CAR
None,416.0,CAR
Not Reported,4.0,CAR
Aglipay,85698.0,REGION IV-A
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",644.0,REGION IV-A
Association of Fundamental Baptist Churches in the Philippines,168.0,REGION IV-A
Bible Baptist Church,27050.0,REGION IV-A
Bread of Life Ministries,693.0,REGION IV-A
Buddhist,2285.0,REGION IV-A
"Cathedral of Praise, Incorporated",415.0,REGION IV-A
Church of Christ,28541.0,REGION IV-A
Church of Jesus Christ of the Latter Day Saints,22647.0,REGION IV-A
Convention of the Philippine Baptist Church,114.0,REGION IV-A
"Crusaders of the Divine Church of Christ, Incorporated",145.0,REGION IV-A
Door of Faith,4779.0,REGION IV-A
Evangelical Christian Outreach Foundation,3180.0,REGION IV-A
Evangelicals (Philippine Council of Evangelical Churches),86680.0,REGION IV-A
Faith Tabernacle Church (Living Rock Ministries),167.0,REGION IV-A
Good News Christian Churches,509.0,REGION IV-A
Higher Ground Baptist Mission,19.0,REGION IV-A
Iglesia Evangelica Unida de Cristo,300.0,REGION IV-A
Iglesia ni Cristo,467505.0,REGION IV-A
"Iglesia sa Dios Espiritu Santo, Incorporated",3048.0,REGION IV-A
International Baptist Missionary Fellowship,87.0,REGION IV-A
International One Way Outreach,283.0,REGION IV-A
Islam,67983.0,REGION IV-A
Jehovah’s Witness,41629.0,REGION IV-A
"Jesus is Alive Community, Incorporated",1040.0,REGION IV-A
Jesus is Lord Church,76077.0,REGION IV-A
Love of Christ International Ministries,492.0,REGION IV-A
Lutheran Church of the Philippines,431.0,REGION IV-A
Miracle Revival Church of the Philippines,163.0,REGION IV-A
Missionary Baptist Churches of the Philippines,171.0,REGION IV-A
National Council of Churches in the Philippines,13993.0,REGION IV-A
Philippine Benevolent Missionaries Association,42.0,REGION IV-A
Philippine Ecumenical Christian Church,126.0,REGION IV-A
Philippine Good News Ministries,275.0,REGION IV-A
Philippine Grace Gospel,1547.0,REGION IV-A
Philippine Independent Catholic Church,882.0,REGION IV-A
Potter’s House Christian Center,896.0,REGION IV-A
"Roman Catholic, including Catholic Charismatic",12808393.0,REGION IV-A
"Salvation Army, Philippines",333.0,REGION IV-A
Seventh Day Adventist,54690.0,REGION IV-A
Things to Come,129.0,REGION IV-A
UNIDA Evangelical Church,3598.0,REGION IV-A
"Union Espiritista Cristiana de Filipinas, Incorporated",92.0,REGION IV-A
United Church of Christ in the Philippines,11053.0,REGION IV-A
"United Pentecostal Church (Philippines), Incorporated",4880.0,REGION IV-A
Victory Chapel Christian Fellowship,8912.0,REGION IV-A
"Way of Salvation Church, Incorporated",122.0,REGION IV-A
Other Baptists,64215.0,REGION IV-A
Other Protestants,44449.0,REGION IV-A
Other Religious Affiliations,471600.0,REGION IV-A
Tribal Religions,346.0,REGION IV-A
None,585.0,REGION IV-A
Not Reported,673.0,REGION IV-A
Aglipay,756225.0,PHILIPPINES
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",3312.0,PHILIPPINES
Association of Fundamental Baptist Churches in the Philippines,183253.0,PHILIPPINES
Bible Baptist Church,553790.0,PHILIPPINES
Bread of Life Ministries,7089.0,PHILIPPINES
Buddhist,26346.0,PHILIPPINES
"Cathedral of Praise, Incorporated",3645.0,PHILIPPINES
Church of Christ,319987.0,PHILIPPINES
Church of Jesus Christ of the Latter Day Saints,196303.0,PHILIPPINES
Convention of the Philippine Baptist Church,24125.0,PHILIPPINES
"Crusaders of the Divine Church of Christ, Incorporated",47877.0,PHILIPPINES
Door of Faith,15170.0,PHILIPPINES
Evangelical Christian Outreach Foundation,87322.0,PHILIPPINES
Evangelicals (Philippine Council of Evangelical Churches),2445113.0,PHILIPPINES
Faith Tabernacle Church (Living Rock Ministries),41645.0,PHILIPPINES
Good News Christian Churches,11362.0,PHILIPPINES
Higher Ground Baptist Mission,714.0,PHILIPPINES
Iglesia Evangelica Unida de Cristo,1656.0,PHILIPPINES
Iglesia ni Cristo,2664498.0,PHILIPPINES
"Iglesia sa Dios Espiritu Santo, Incorporated",61623.0,PHILIPPINES
International Baptist Missionary Fellowship,6970.0,PHILIPPINES
International One Way Outreach,42753.0,PHILIPPINES
Islam,6064744.0,PHILIPPINES
Jehovah’s Witness,438148.0,PHILIPPINES
"Jesus is Alive Community, Incorporated",10677.0,PHILIPPINES
Jesus is Lord Church,435851.0,PHILIPPINES
Love of Christ International Ministries,5041.0,PHILIPPINES
Lutheran Church of the Philippines,45842.0,PHILIPPINES
Miracle Revival Church of the Philippines,12279.0,PHILIPPINES
Missionary Baptist Churches of the Philippines,17102.0,PHILIPPINES
National Council of Churches in the Philippines,1146954.0,PHILIPPINES
Philippine Benevolent Missionaries Association,9306.0,PHILIPPINES
Philippine Ecumenical Christian Church,21948.0,PHILIPPINES
Philippine Good News Ministries,940.0,PHILIPPINES
Philippine Grace Gospel,37247.0,PHILIPPINES
Philippine Independent Catholic Church,66959.0,PHILIPPINES
Potter’s House Christian Center,2223.0,PHILIPPINES
"Roman Catholic, including Catholic Charismatic",80304061.0,PHILIPPINES
"Salvation Army, Philippines",10330.0,PHILIPPINES
Seventh Day Adventist,791552.0,PHILIPPINES
Things to Come,2504.0,PHILIPPINES
UNIDA Evangelical Church,7412.0,PHILIPPINES
"Union Espiritista Cristiana de Filipinas, Incorporated",135208.0,PHILIPPINES
United Church of Christ in the Philippines,419017.0,PHILIPPINES
"United Pentecostal Church (Philippines), Incorporated",306273.0,PHILIPPINES
Victory Chapel Christian Fellowship,107378.0,PHILIPPINES
"Way of Salvation Church, Incorporated",8571.0,PHILIPPINES
Other Baptists,434407.0,PHILIPPINES
Other Protestants,467369.0,PHILIPPINES
Other Religious Affiliations,1839936.0,PHILIPPINES
Tribal Religions,243704.0,PHILIPPINES
None,19953.0,PHILIPPINES
Not Reported,65589.0,PHILIPPINES
Note:,,PHILIPPINES
"a The 2015 total population excludes Filipinos in Philippine Embassies, Consulates and Mission Abroad numbering 2,134.",,PHILIPPINES
Aglipay,13967.0,REGION VII
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",45.0,REGION VII
Association of Fundamental Baptist Churches in the Philippines,735.0,REGION VII
Bible Baptist Church,27806.0,REGION VII
Bread of Life Ministries,275.0,REGION VII
Buddhist,1126.0,REGION VII
"Cathedral of Praise, Incorporated",48.0,REGION VII
Church of Christ,6346.0,REGION VII
Church of Jesus Christ of the Latter Day Saints,9265.0,REGION VII
Convention of the Philippine Baptist Church,21.0,REGION VII
"Crusaders of the Divine Church of Christ, Incorporated",126.0,REGION VII
Door of Faith,68.0,REGION VII
Evangelical Christian Outreach Foundation,1973.0,REGION VII
Evangelicals (Philippine Council of Evangelical Churches),36460.0,REGION VII
Faith Tabernacle Church (Living Rock Ministries),1457.0,REGION VII
Good News Christian Churches,88.0,REGION VII
Higher Ground Baptist Mission,6.0,REGION VII
Iglesia Evangelica Unida de Cristo,14.0,REGION VII
Iglesia ni Cristo,47145.0,REGION VII
"Iglesia sa Dios Espiritu Santo, Incorporated",895.0,REGION VII
International Baptist Missionary Fellowship,103.0,REGION VII
International One Way Outreach,1741.0,REGION VII
Islam,12167.0,REGION VII
Jehovah’s Witness,17227.0,REGION VII
"Jesus is Alive Community, Incorporated",102.0,REGION VII
Jesus is Lord Church,3168.0,REGION VII
Love of Christ International Ministries,60.0,REGION VII
Lutheran Church of the Philippines,95.0,REGION VII
Miracle Revival Church of the Philippines,1126.0,REGION VII
Missionary Baptist Churches of the Philippines,560.0,REGION VII
National Council of Churches in the Philippines,27655.0,REGION VII
Philippine Benevolent Missionaries Association,98.0,REGION VII
Philippine Ecumenical Christian Church,177.0,REGION VII
Philippine Good News Ministries,5.0,REGION VII
Philippine Grace Gospel,984.0,REGION VII
Philippine Independent Catholic Church,4260.0,REGION VII
Potter’s House Christian Center,32.0,REGION VII
"Roman Catholic, including Catholic Charismatic",5651466.0,REGION VII
"Salvation Army, Philippines",313.0,REGION VII
Seventh Day Adventist,29884.0,REGION VII
Things to Come,232.0,REGION VII
UNIDA Evangelical Church,302.0,REGION VII
"Union Espiritista Cristiana de Filipinas, Incorporated",43.0,REGION VII
United Church of Christ in the Philippines,25275.0,REGION VII
"United Pentecostal Church (Philippines), Incorporated",5338.0,REGION VII
Victory Chapel Christian Fellowship,2195.0,REGION VII
"Way of Salvation Church, Incorporated",7.0,REGION VII
Other Baptists,6157.0,REGION VII
Other Protestants,63303.0,REGION VII
Other Religious Affiliations,36875.0,REGION VII
Tribal Religions,1530.0,REGION VII
None,499.0,REGION VII
Not Reported,1058.0,REGION VII
Aglipay,37526.0,REGION X
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",161.0,REGION X
Association of Fundamental Baptist Churches in the Philippines,48418.0,REGION X
Bible Baptist Church,38251.0,REGION X
Bread of Life Ministries,309.0,REGION X
Buddhist,2239.0,REGION X
"Cathedral of Praise, Incorporated",20.0,REGION X
Church of Christ,17561.0,REGION X
Church of Jesus Christ of the Latter Day Saints,10947.0,REGION X
Convention of the Philippine Baptist Church,371.0,REGION X
"Crusaders of the Divine Church of Christ, Incorporated",143.0,REGION X
Door of Faith,37.0,REGION X
Evangelical Christian Outreach Foundation,1652.0,REGION X
Evangelicals (Philippine Council of Evangelical Churches),145066.0,REGION X
Faith Tabernacle Church (Living Rock Ministries),1577.0,REGION X
Good News Christian Churches,479.0,REGION X
Higher Ground Baptist Mission,3.0,REGION X
Iglesia Evangelica Unida de Cristo,42.0,REGION X
Iglesia ni Cristo,74236.0,REGION X
"Iglesia sa Dios Espiritu Santo, Incorporated",13211.0,REGION X
International Baptist Missionary Fellowship,176.0,REGION X
International One Way Outreach,1079.0,REGION X
Islam,378019.0,REGION X
Jehovah’s Witness,20925.0,REGION X
"Jesus is Alive Community, Incorporated",639.0,REGION X
Jesus is Lord Church,4385.0,REGION X
Love of Christ International Ministries,1059.0,REGION X
Lutheran Church of the Philippines,1075.0,REGION X
Miracle Revival Church of the Philippines,188.0,REGION X
Missionary Baptist Churches of the Philippines,1301.0,REGION X
National Council of Churches in the Philippines,134250.0,REGION X
Philippine Benevolent Missionaries Association,4136.0,REGION X
Philippine Ecumenical Christian Church,1779.0,REGION X
Philippine Good News Ministries,104.0,REGION X
Philippine Grace Gospel,5357.0,REGION X
Philippine Independent Catholic Church,16490.0,REGION X
Potter’s House Christian Center,45.0,REGION X
"Roman Catholic, including Catholic Charismatic",3399561.0,REGION X
"Salvation Army, Philippines",394.0,REGION X
Seventh Day Adventist,112844.0,REGION X
Things to Come,420.0,REGION X
UNIDA Evangelical Church,95.0,REGION X
"Union Espiritista Cristiana de Filipinas, Incorporated",1492.0,REGION X
United Church of Christ in the Philippines,30851.0,REGION X
"United Pentecostal Church (Philippines), Incorporated",9922.0,REGION X
Victory Chapel Christian Fellowship,1417.0,REGION X
"Way of Salvation Church, Incorporated",129.0,REGION X
Other Baptists,27590.0,REGION X
Other Protestants,42109.0,REGION X
Other Religious Affiliations,57874.0,REGION X
Tribal Religions,39696.0,REGION X
None,1294.0,REGION X
Not Reported,358.0,REGION X
Aglipay,9822.0,REGION IX
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",123.0,REGION IX
Association of Fundamental Baptist Churches in the Philippines,194.0,REGION IX
Bible Baptist Church,20522.0,REGION IX
Bread of Life Ministries,53.0,REGION IX
Buddhist,249.0,REGION IX
"Cathedral of Praise, Incorporated",42.0,REGION IX
Church of Christ,15378.0,REGION IX
Church of Jesus Christ of the Latter Day Saints,2237.0,REGION IX
Convention of the Philippine Baptist Church,635.0,REGION IX
"Crusaders of the Divine Church of Christ, Incorporated",39.0,REGION IX
Door of Faith,9.0,REGION IX
Evangelical Christian Outreach Foundation,5019.0,REGION IX
Evangelicals (Philippine Council of Evangelical Churches),203168.0,REGION IX
Faith Tabernacle Church (Living Rock Ministries),144.0,REGION IX
Good News Christian Churches,350.0,REGION IX
Higher Ground Baptist Mission,4.0,REGION IX
Iglesia Evangelica Unida de Cristo,8.0,REGION IX
Iglesia ni Cristo,53291.0,REGION IX
"Iglesia sa Dios Espiritu Santo, Incorporated",7703.0,REGION IX
International Baptist Missionary Fellowship,16.0,REGION IX
International One Way Outreach,5249.0,REGION IX
Islam,603289.0,REGION IX
Jehovah’s Witness,9706.0,REGION IX
"Jesus is Alive Community, Incorporated",67.0,REGION IX
Jesus is Lord Church,1377.0,REGION IX
Love of Christ International Ministries,97.0,REGION IX
Lutheran Church of the Philippines,1.0,REGION IX
Miracle Revival Church of the Philippines,577.0,REGION IX
Missionary Baptist Churches of the Philippines,78.0,REGION IX
National Council of Churches in the Philippines,21984.0,REGION IX
Philippine Benevolent Missionaries Association,355.0,REGION IX
Philippine Ecumenical Christian Church,121.0,REGION IX
Philippine Good News Ministries,80.0,REGION IX
Philippine Grace Gospel,7771.0,REGION IX
Philippine Independent Catholic Church,8520.0,REGION IX
Potter’s House Christian Center,39.0,REGION IX
"Roman Catholic, including Catholic Charismatic",2352626.0,REGION IX
"Salvation Army, Philippines",62.0,REGION IX
Seventh Day Adventist,65013.0,REGION IX
Things to Come,108.0,REGION IX
UNIDA Evangelical Church,119.0,REGION IX
"Union Espiritista Cristiana de Filipinas, Incorporated",18.0,REGION IX
United Church of Christ in the Philippines,34775.0,REGION IX
"United Pentecostal Church (Philippines), Incorporated",6651.0,REGION IX
Victory Chapel Christian Fellowship,501.0,REGION IX
"Way of Salvation Church, Incorporated",16.0,REGION IX
Other Baptists,2324.0,REGION IX
Other Protestants,28814.0,REGION IX
Other Religious Affiliations,132016.0,REGION IX
Tribal Religions,21204.0,REGION IX
None,6815.0,REGION IX
Not Reported,404.0,REGION IX
Aglipay,1116.0,ARMM
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",53.0,ARMM
Association of Fundamental Baptist Churches in the Philippines,371.0,ARMM
Bible Baptist Church,2900.0,ARMM
Bread of Life Ministries,2.0,ARMM
Buddhist,16.0,ARMM
"Cathedral of Praise, Incorporated",11.0,ARMM
Church of Christ,285.0,ARMM
Church of Jesus Christ of the Latter Day Saints,21.0,ARMM
Convention of the Philippine Baptist Church,2.0,ARMM
"Crusaders of the Divine Church of Christ, Incorporated",22.0,ARMM
Door of Faith,8.0,ARMM
Evangelical Christian Outreach Foundation,92.0,ARMM
Evangelicals (Philippine Council of Evangelical Churches),15748.0,ARMM
Faith Tabernacle Church (Living Rock Ministries),21.0,ARMM
Good News Christian Churches,291.0,ARMM
Higher Ground Baptist Mission,2.0,ARMM
Iglesia Evangelica Unida de Cristo,41.0,ARMM
Iglesia ni Cristo,6418.0,ARMM
"Iglesia sa Dios Espiritu Santo, Incorporated",1132.0,ARMM
International Baptist Missionary Fellowship,1.0,ARMM
International One Way Outreach,457.0,ARMM
Islam,3451644.0,ARMM
Jehovah’s Witness,1270.0,ARMM
"Jesus is Alive Community, Incorporated",67.0,ARMM
Jesus is Lord Church,20.0,ARMM
Love of Christ International Ministries,20.0,ARMM
Lutheran Church of the Philippines,22.0,ARMM
Miracle Revival Church of the Philippines,3899.0,ARMM
Missionary Baptist Churches of the Philippines,84.0,ARMM
National Council of Churches in the Philippines,40795.0,ARMM
Philippine Benevolent Missionaries Association,18.0,ARMM
Philippine Ecumenical Christian Church,23.0,ARMM
Philippine Good News Ministries,2.0,ARMM
Philippine Grace Gospel,2291.0,ARMM
Philippine Independent Catholic Church,8.0,ARMM
Potter’s House Christian Center,1.0,ARMM
"Roman Catholic, including Catholic Charismatic",197564.0,ARMM
"Salvation Army, Philippines",10.0,ARMM
Seventh Day Adventist,2278.0,ARMM
Things to Come,18.0,ARMM
UNIDA Evangelical Church,4.0,ARMM
"Union Espiritista Cristiana de Filipinas, Incorporated",2533.0,ARMM
United Church of Christ in the Philippines,1092.0,ARMM
"United Pentecostal Church (Philippines), Incorporated",794.0,ARMM
Victory Chapel Christian Fellowship,31.0,ARMM
"Way of Salvation Church, Incorporated",6.0,ARMM
Other Baptists,232.0,ARMM
Other Protestants,1212.0,ARMM
Other Religious Affiliations,13068.0,ARMM
Tribal Religions,16069.0,ARMM
None,1293.0,ARMM
Not Reported,16009.0,ARMM
Aglipay,32182.0,MIMAROPA
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",84.0,MIMAROPA
Association of Fundamental Baptist Churches in the Philippines,31388.0,MIMAROPA
Bible Baptist Church,37477.0,MIMAROPA
Bread of Life Ministries,65.0,MIMAROPA
Buddhist,163.0,MIMAROPA
"Cathedral of Praise, Incorporated",312.0,MIMAROPA
Church of Christ,20579.0,MIMAROPA
Church of Jesus Christ of the Latter Day Saints,3894.0,MIMAROPA
Convention of the Philippine Baptist Church,132.0,MIMAROPA
"Crusaders of the Divine Church of Christ, Incorporated",1614.0,MIMAROPA
Door of Faith,1143.0,MIMAROPA
Evangelical Christian Outreach Foundation,5702.0,MIMAROPA
Evangelicals (Philippine Council of Evangelical Churches),135774.0,MIMAROPA
Faith Tabernacle Church (Living Rock Ministries),345.0,MIMAROPA
Good News Christian Churches,2768.0,MIMAROPA
Higher Ground Baptist Mission,1.0,MIMAROPA
Iglesia Evangelica Unida de Cristo,551.0,MIMAROPA
Iglesia ni Cristo,109449.0,MIMAROPA
"Iglesia sa Dios Espiritu Santo, Incorporated",2514.0,MIMAROPA
International Baptist Missionary Fellowship,64.0,MIMAROPA
International One Way Outreach,36.0,MIMAROPA
Islam,99208.0,MIMAROPA
Jehovah’s Witness,12349.0,MIMAROPA
"Jesus is Alive Community, Incorporated",518.0,MIMAROPA
Jesus is Lord Church,15219.0,MIMAROPA
Love of Christ International Ministries,64.0,MIMAROPA
Lutheran Church of the Philippines,6.0,MIMAROPA
